welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.8102,,,0.032400645,0.048662534,1,0,0,0,183,183,93,1,waarop,images/br_waarop.png,images/cb_waarop.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.2207,,,0.075844939,0.115064538,1,0,0,0,184,184,125,1,aanzien,images/br_aanzien.png,images/cb_aanzien.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.1939,,,0.07555197,0.113098675,1,0,0,0,185,185,166,1,strikken,images/br_strikken.png,images/cb_strikken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,0.7499,,,0.041924253,0.193813689,1,0,0,0,186,186,115,1,kleren,images/br_kleren.png,images/cb_kleren.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.9246,,,-0.092900815,-0.078384001,1,0,0,0,187,187,51,1,samen,images/br_samen.png,images/cb_samen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.7035,,,-0.176146399,-0.221191406,1,0,0,0,188,188,146,1,opkomen,images/br_opkomen.png,images/cb_opkomen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,6.8498,,,-0.040548573,0.024295177,1,0,0,0,189,189,187,1,opkijken,images/br_opkijken.png,images/cb_opkijken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,1.3872,,,-0.040548573,0.024295177,1,0,0,0,190,190,4,1,moes,images/br_moes.png,images/cb_moes.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,2.4895,,,-0.140306556,-0.021522588,1,0,0,0,191,191,112,1,lukken,images/br_lukken.png,images/cb_lukken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,00017,2023-08-18_23h49.10.228,vbt_B2_day3,2022.2.4,MacIntel,60.0024001,,,,,,down,0,4.3057,,,-0.080413553,0.058810292,1,0,0,0,192,192,149,1,redding,images/br_redding.png,images/cb_redding.png,0,,,,,,,,,,,,,,,,,,,,,
