subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,3,bedoelen,0,,False,9.596200000047702,0.4525999999046917,
sub-00004,cb,3,kennis,0,,False,4.979400000095438,0.4667000000476946,
sub-00004,cb,3,bever,0,,False,13.431200000047625,5.998900000095432,
sub-00004,cb,3,staren,1,staren,True,,0.4722999999522699,5.807700000047703
sub-00004,cb,3,heengaan,0,,False,5.229100000143035,0.3832000000477364,
sub-00004,cb,3,wijlen,0,,False,5.998499999999922,2.351799999952391,
sub-00004,cb,3,klauw,0,,False,7.982599999904551,0.4698000001907303,
sub-00004,cb,3,afval,0,,False,12.625099999904592,0.6861000001430284,
sub-00004,cb,3,samen,0,,False,12.180999999999926,2.5022999999523563,
sub-00004,cb,3,kust,0,,False,9.892099999904644,0.6079000000953556,
sub-00004,cb,3,maken,0,,False,11.748500000000035,0.7849000000953765,
sub-00004,cb,3,liefje,0,,False,8.097999999999956,1.2685000000000173,
sub-00004,cb,3,aanraden,0,,False,7.475399999856904,0.5577000000477028,
sub-00004,cb,3,slak,0,,False,3.024499999999989,0.7075999999046871,
sub-00004,cb,3,nakijken,0,,False,18.578799999952253,3.1052000000477165,
sub-00004,cb,3,opheffen,0,,False,12.730799999952296,0.544200000047681,
sub-00004,cb,3,totaal,0,,False,5.615599999904589,0.50100000000009,
sub-00004,cb,3,blik,0,,False,3.9731000001429497,0.5412000000477519,
sub-00004,cb,3,aandelen,0,,False,7.592100000143091,0.5412000000476382,
sub-00004,cb,3,laag,0,,False,3.141899999856946,0.45799999999997,
sub-00004,cb,3,zwart,0,,False,8.19129999995232,0.7242000000477447,
sub-00004,cb,3,kabel,0,,False,6.246599999904674,0.5184000000954256,
sub-00004,cb,3,klimmen,0,,False,5.33270000004768,0.7335999999047544,
sub-00004,cb,3,vinger,0,,False,5.882099999904767,1.2017000000475946,
sub-00004,cb,3,snoep,0,,False,9.691399999856912,0.5753000001907367,
sub-00004,cb,3,knie,0,,False,14.076599999904602,2.2595000000001164,
sub-00004,cb,3,anarchie,0,,False,11.113699999809342,0.5540000000000873,
sub-00004,cb,3,boeien,0,,False,7.97920000004774,0.4517999999522999,
sub-00004,cb,3,voorraad,0,,False,13.081100000143124,0.9202000000475437,
sub-00004,cb,3,lokken,0,,False,3.3134999999999764,0.9583999998569652,
sub-00004,cb,3,aanzien,0,,False,7.1577000000477256,0.5717999999521908,
sub-00004,cb,3,mist,1,mist,True,,0.5752999999522217,4.592900000095369
sub-00004,cb,3,afnemen,0,,False,10.73189999985675,0.6027000000478893,
sub-00004,cb,3,aarzelen,0,,False,4.41540000009536,0.6170999999046671,
sub-00004,cb,3,keihard,0,,False,11.113900000095557,0.6190999999046198,
sub-00004,cb,3,dubbel,0,,False,6.082599999904687,0.4794999999999163,
sub-00004,cb,3,blijven,1,blijven,True,,0.4919999999999618,7.67970000004766
sub-00004,cb,3,blad,0,,False,2.9992999999522,0.7748000001909077,
sub-00004,cb,3,parel,0,,False,4.573000000000093,0.44399999999996,
sub-00004,cb,3,zweven,0,,False,10.430500000000166,0.4539999999999509,
sub-00004,cb,3,weeshuis,0,,False,6.107300000190662,0.6178999998569452,
sub-00004,cb,3,geliefd,0,,False,5.547099999904503,0.6029000000953602,
sub-00004,cb,3,oprotten,0,,False,3.643100000143022,0.5850999999047417,
sub-00004,cb,3,laken,0,,False,4.306100000143033,0.5755000000001473,
sub-00004,cb,3,slagen,0,,False,3.272700000047734,0.453400000095371,
sub-00004,cb,3,openbaar,1,openbaar,True,,0.8311000001431239,12.929299999952264
sub-00004,cb,3,kleren,0,,False,6.847899999856963,1.1557000000477728,
sub-00004,cb,3,komisch,0,,False,8.29879999995228,0.4889000000953274,
sub-00004,cb,3,jurk,0,,False,18.579699999809236,5.958300000190775,
sub-00004,cb,3,waken,0,,False,5.7074000000952765,0.5070999999047672,
sub-00004,cb,3,mand,0,,False,5.640400000095269,0.4584999999999581,
sub-00004,cb,3,vlek,0,,False,3.306800000190833,0.4916999998092706,
sub-00004,cb,3,zingen,0,,False,6.257000000000062,0.4755000000000109,
sub-00004,cb,3,moes,0,,False,3.323399999856747,0.4764999999999872,
sub-00004,cb,3,baron,0,,False,6.582900000095378,0.4852999999523035,
sub-00004,cb,3,wagon,0,,False,6.230199999809429,0.4511000001430147,
sub-00004,cb,3,geld,0,,False,4.888299999952324,0.5432000000478183,
sub-00004,cb,3,maling,0,,False,9.783500000000004,0.6377000000477437,
